KEYWORD						DESCRIPTION
-------						-----------
GET							Receive input from the user
READ						Receive input from a file, a server, or another program
PUT							Send output to the user
WRITE						Send output to a file, a server, or another program
SWITCH/CASE					Make a multi-way decision
END							End of the structure (file, class, or function)
->							Assignment operation
// or #						Comments
--							A wrapped line of code
FOREACH * IN *				A foreach loop
FOR * FROM * TO * STEP *	A for loop


